 DB13   35.97403 -120.55207 -956.0000
 DB14   35.97405 -120.55205 -915.0000
 DB15   35.97405 -120.55205 -876.0000
 DB16   35.97407 -120.55203 -836.0000
 DB17   35.97408 -120.55202 -796.0000
 DB18   35.97408 -120.55202 -756.0000
 DB19   35.97407 -120.55198 -716.0000
 DB20   35.97407 -120.55195 -676.0000
 DB21   35.97408 -120.55193 -636.0000
 DB22   35.97410 -120.55190 -596.0000
 DB23   35.97410 -120.55188 -556.0000
 DB24   35.97413 -120.55188 -516.0000
 DB25   35.97415 -120.55188 -475.0000
 DB26   35.97418 -120.55188 -436.0000
 DB27   35.97423 -120.55188 -396.0000
 DB28   35.97425 -120.55190 -356.0000
 DB29   35.97427 -120.55190 -316.0000
 DB30   35.97428 -120.55192 -276.0000
 DB31   35.97428 -120.55193 -236.0000
 DB32   35.97428 -120.55195 -196.0000
 SH01   35.97450 -120.55167 630.0000
 SH02   35.96117 -120.59183 720.0000
 SH03   35.96583 -120.66500 410.0000
 SH04   36.08983 -120.51450 410.0000
 SH06   35.90067 -120.56633 640.0000
 SH07   35.96583 -120.61283 680.0000
 SH08   35.97433 -120.60517 580.0000
 SH09   35.93383 -120.56500 770.0000
 SH10   35.98033 -120.51133 630.0000
 SH11   35.97517 -120.48983 630.0000
 SH12   35.95800 -120.50400 730.0000
 SH13   35.97033 -120.49917 640.0000
 SH14   35.99367 -120.47033 830.0000
 SH15   35.97233 -120.42550 1010.0000
 SH16   35.97067 -120.46267 750.0000
 SH17   35.96650 -120.47500 620.0000
 SH21   36.00458 -120.56080 621.0000
 SH22   35.99750 -120.56748 681.0000
 SH23   35.98617 -120.56862 672.0000
 SH24   35.96143 -120.52977 728.0000
 SH25   36.00808 -120.53160 951.0000
 SH26   36.02757 -120.49768 886.0000
 SH27   36.02837 -120.49147 862.0000
 SH28   36.00458 -120.51795 1002.0000
 SH29   36.03148 -120.48778 784.0000
 SH30   35.95980 -120.57037 739.0000
 SH31   36.03520 -120.48360 690.0000
 SH32   36.00093 -120.52217 933.0000
 SH33   35.95270 -120.57930 778.0000
 SH34   35.99762 -120.52588 869.0000
 SH35   36.04183 -120.47613 578.0000
 SH36   35.99445 -120.52947 801.0000
 SH37   36.04435 -120.47247 498.0000
 SH38   35.99155 -120.53270 770.0000
 SH39   35.95595 -120.57517 749.0000
 SH40   35.98865 -120.53590 654.0000
 SH41   35.94740 -120.58587 706.0000
 SH42   35.98495 -120.54012 769.0000
 SH43   35.94503 -120.58897 657.0000
 SH44   35.94170 -120.59303 677.0000
 SH45   35.98095 -120.54460 696.0000
 SH46   35.97840 -120.54748 669.0000
 SH47   35.93085 -120.60683 636.0000
 SH48   35.97497 -120.55133 663.0000
 SH49   35.97683 -120.55003 663.0000
 SH50   36.06207 -120.45320 470.0000
 SH51   35.97178 -120.55523 651.0000
 SH52   36.06613 -120.44873 480.0000
 SH53   35.96938 -120.55828 660.0000
 SH54   35.96493 -120.56392 684.0000
 SH55   35.90583 -120.63833 535.0000
 SH56   36.07972 -120.43343 434.0000
 H400   36.04082 -120.47727 559.0000
 H405   36.03915 -120.47913 607.0000
 H410   36.03750 -120.48100 628.0000
 H415   36.03583 -120.48288 675.0000
 H420   36.03417 -120.48475 701.0000
 H425   36.03252 -120.48662 743.0000
 H430   36.03085 -120.48850 797.0000
 H435   36.02917 -120.49035 857.0000
 H440   36.02752 -120.49225 872.0000
 H445   36.02592 -120.49408 902.0000
 H450   36.02418 -120.49597 960.0000
 H455   36.02253 -120.49783 990.0000
 H460   36.02087 -120.49970 1072.0000
 H465   36.01920 -120.50152 1045.0000
 H470   36.01753 -120.50342 1011.0000
 H510   36.00422 -120.51840 991.0000
 H515   36.00257 -120.52030 957.0000
 H520   36.00090 -120.52217 934.0000
 H525   35.99923 -120.52405 896.0000
 H530   35.99758 -120.52590 873.0000
 H535   35.99592 -120.52777 849.0000
 H540   35.99425 -120.52965 799.0000
 H545   35.99258 -120.53152 762.0000
 H550   35.99092 -120.53338 760.0000
 H555   35.98925 -120.53527 675.0000
 H560   35.98762 -120.53712 685.0000
 H565   35.98593 -120.53900 734.0000
 H570   35.98427 -120.54087 765.0000
 H575   35.98262 -120.54273 716.0000
 H580   35.98095 -120.54462 694.0000
 H585   35.97928 -120.54647 670.0000
 H590   35.97763 -120.54833 670.0000
 H595   35.97597 -120.55022 661.0000
 H600   35.97425 -120.55208 657.0000
 H605   35.97272 -120.55407 651.0000
 H610   35.97113 -120.55607 645.0000
 H615   35.96958 -120.55805 657.0000
 H620   35.96803 -120.55998 678.0000
 H625   35.96643 -120.56200 706.0000
 H630   35.96487 -120.56398 686.0000
 H635   35.96327 -120.56597 712.0000
 H640   35.96170 -120.56795 719.0000
 H645   35.96010 -120.56995 744.0000
 H650   35.95857 -120.57192 736.0000
 H655   35.95698 -120.57392 719.0000
 H660   35.95542 -120.57590 727.0000
 H665   35.95383 -120.57788 742.0000
 H670   35.95227 -120.57987 757.0000
 H675   35.95068 -120.58182 729.0000
 H680   35.94910 -120.58385 733.0000
 H685   35.94753 -120.58582 702.0000
 H690   35.94598 -120.58778 676.0000
 H695   35.94438 -120.58977 670.0000
 H700   35.94278 -120.59178 671.0000
 H705   35.94125 -120.59373 657.0000
 H710   35.93967 -120.59572 579.0000
 H715   35.93807 -120.59767 534.0000
 H720   35.93653 -120.59965 580.0000
 H725   35.93497 -120.60167 591.0000
 H730   35.93338 -120.60363 561.0000
 H735   35.93182 -120.60560 577.0000
 H740   35.93023 -120.60760 615.0000
 H745   35.92865 -120.60958 632.0000
 H750   35.92708 -120.61158 636.0000
 H755   35.92550 -120.61355 637.0000
 H760   35.92393 -120.61553 644.0000
 H765   35.92237 -120.61752 683.0000
 H770   35.92078 -120.61950 634.0000
 H775   35.91922 -120.62148 592.0000
 H780   35.91763 -120.62345 606.0000
 H785   35.91605 -120.62545 643.0000
 H790   35.91448 -120.62743 598.0000
